type,container,rule,reasoning
NoPath,R0,-A INPUT -s 192.0.0.5:192.0.0.6 -d 192.0.0.40:255.255.255.255 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.5:192.0.0.6 -d 192.0.0.40:255.255.255.255 -p * --sport * --dport * -j DROP in R0.
NoPath,R0,-A INPUT -s 192.0.0.69 -d 0.0.0.1:192.0.0.35 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.69 -d 0.0.0.1:192.0.0.35 -p * --sport * --dport * -j DROP in R0.
NoPath,R0,-A INPUT -s 192.0.0.7:192.0.0.8 -d 0.0.0.1:192.0.0.35 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.7:192.0.0.8 -d 0.0.0.1:192.0.0.35 -p * --sport * --dport * -j DROP in R0.
NoPath,R0,-A INPUT -s 192.0.0.5 -d 0.0.0.1:192.0.0.35 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.5 -d 0.0.0.1:192.0.0.35 -p * --sport * --dport * -j DROP in R0.
NoPath,R0,-A INPUT -s 0.0.0.1:192.0.0.4 -d * -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 0.0.0.1:192.0.0.4 -d * -p * --sport * --dport * -j DROP in R0.
NoPath,R0,-A INPUT -s 192.0.0.40:192.0.0.67 -d * -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.40:192.0.0.67 -d * -p * --sport * --dport * -j DROP in R0.
NoPath,R0,-A INPUT -s 192.0.0.39 -d 0.0.0.1:192.0.0.4 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.39 -d 0.0.0.1:192.0.0.4 -p * --sport * --dport * -j DROP in R0.
NoPath,R0,-A INPUT -s 192.0.0.36:192.0.0.37 -d 0.0.0.1:192.0.0.4 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.36:192.0.0.37 -d 0.0.0.1:192.0.0.4 -p * --sport * --dport * -j DROP in R0.
NoPath,R1,-A INPUT -s 192.0.0.7:192.0.0.8 -d 0.0.0.1:192.0.0.67 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.7:192.0.0.8 -d 0.0.0.1:192.0.0.67 -p * --sport * --dport * -j DROP in R1.
NoPath,R1,-A INPUT -s 192.0.0.37 -d 0.0.0.1:192.0.0.67 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.37 -d 0.0.0.1:192.0.0.67 -p * --sport * --dport * -j DROP in R1.
NoPath,R1,-A INPUT -s 0.0.0.1:192.0.0.4 -d * -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 0.0.0.1:192.0.0.4 -d * -p * --sport * --dport * -j DROP in R1.
NoPath,R1,-A INPUT -s 192.0.0.72:255.255.255.255 -d * -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.72:255.255.255.255 -d * -p * --sport * --dport * -j DROP in R1.
NoPath,R1,-A INPUT -s 192.0.0.5:192.0.0.6 -d 192.0.0.72:255.255.255.255 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.5:192.0.0.6 -d 192.0.0.72:255.255.255.255 -p * --sport * --dport * -j DROP in R1.
NoPath,R1,-A INPUT -s 192.0.0.70:192.0.0.71 -d 0.0.0.1:192.0.0.4 -p * --sport * --dport * -j DROP,WARNING: Unable to calculate conduit paths of rule -A INPUT -s 192.0.0.70:192.0.0.71 -d 0.0.0.1:192.0.0.4 -p * --sport * --dport * -j DROP in R1.
