index,conditions,hit_count,expected_decision
0,"{""SRC"": ""SV0"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",28,EPacketDecision.ACCEPT
1,"{""SRC"": ""SV0"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",119,EPacketDecision.ACCEPT
2,"{""SRC"": ""SV0"", ""DST"": ""I4"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",230,EPacketDecision.ACCEPT
3,"{""SRC"": ""SV0"", ""DST"": ""I4"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",445,EPacketDecision.ACCEPT
4,"{""SRC"": ""SV0"", ""DST"": ""I5"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",222,EPacketDecision.ACCEPT
5,"{""SRC"": ""SV0"", ""DST"": ""I6"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",404,EPacketDecision.ACCEPT
6,"{""SRC"": ""SV0"", ""DST"": ""I6"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",262,EPacketDecision.ACCEPT
7,"{""SRC"": ""SV0"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",348,EPacketDecision.ACCEPT
8,"{""SRC"": ""SV0"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",28,EPacketDecision.ACCEPT
9,"{""SRC"": ""SV0"", ""DST"": ""I4"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",30,EPacketDecision.ACCEPT
10,"{""SRC"": ""SV0"", ""DST"": ""I4"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",410,EPacketDecision.ACCEPT
11,"{""SRC"": ""SV0"", ""DST"": ""I6"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",292,EPacketDecision.ACCEPT
12,"{""SRC"": ""SV0"", ""DST"": ""I6"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",358,EPacketDecision.ACCEPT
13,"{""SRC"": ""C2"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",198,EPacketDecision.ACCEPT
14,"{""SRC"": ""C2"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",35,EPacketDecision.ACCEPT
