s,d,p,-sport,-dport,src_ip,dst_ip,protocol_code,packet_size,packets_per_second
SV0,C2,tcp,4840,4840,192.0.0.5,192.0.0.36,6,563,28
SV0,C2,tcp,22,22,192.0.0.5,192.0.0.36,6,553,22
SV0,C3,tcp,4840,4840,192.0.0.5,192.0.0.37,6,765,69
SV0,C3,tcp,22,22,192.0.0.5,192.0.0.37,6,935,56
SV0,I4,tcp,22,22,192.0.0.5,192.0.0.38,6,1057,50
SV0,I5,tcp,554,554,192.0.0.5,192.0.0.39,6,1188,68
SV0,C5,tcp,4840,4840,192.0.0.5,192.0.0.69,6,649,25
SV0,C5,tcp,22,22,192.0.0.5,192.0.0.69,6,1365,44
SV0,C2,tcp,4840,4840,192.0.0.5,192.0.0.36,6,771,83
SV0,C2,tcp,22,22,192.0.0.5,192.0.0.36,6,1252,43
SV0,C3,tcp,4840,4840,192.0.0.5,192.0.0.37,6,123,16
SV0,C3,tcp,22,22,192.0.0.5,192.0.0.37,6,550,30
SV0,I5,tcp,554,554,192.0.0.5,192.0.0.39,6,1233,23
SV0,C5,tcp,4840,4840,192.0.0.5,192.0.0.69,6,650,23
SV0,C5,tcp,22,22,192.0.0.5,192.0.0.69,6,1210,41
C2,SV0,tcp,4840,4840,192.0.0.36,192.0.0.5,6,729,52
C2,SV0,tcp,22,22,192.0.0.36,192.0.0.5,6,1475,65
C2,C0,udp,34980,34980,192.0.0.36,192.0.0.7,17,86,21
C2,C0,udp,34963,34963,192.0.0.36,192.0.0.7,17,78,35
C2,C0,tcp,22,22,192.0.0.36,192.0.0.7,6,780,80
C2,C0,tcp,80,80,192.0.0.36,192.0.0.7,6,1291,98
C2,C1,udp,34980,34980,192.0.0.36,192.0.0.8,17,74,28
C2,C1,tcp,22,22,192.0.0.36,192.0.0.8,6,1250,63
C2,SV0,tcp,4840,4840,192.0.0.36,192.0.0.5,6,509,99
C2,SV0,tcp,22,22,192.0.0.36,192.0.0.5,6,545,81
C2,C0,udp,34980,34980,192.0.0.36,192.0.0.7,17,82,63
C2,C0,tcp,22,22,192.0.0.36,192.0.0.7,6,1360,90
C2,C0,udp,53247,53247,192.0.0.36,192.0.0.7,17,98,67
C2,C0,tcp,80,80,192.0.0.36,192.0.0.7,6,1397,74
C2,C1,udp,34980,34980,192.0.0.36,192.0.0.8,17,67,81
C2,C1,tcp,22,22,192.0.0.36,192.0.0.8,6,934,45
C2,C4,udp,34980,34980,192.0.0.36,192.0.0.68,17,85,61
C2,C4,udp,34962,34962,192.0.0.36,192.0.0.68,17,91,69
C2,C4,tcp,80,80,192.0.0.36,192.0.0.68,6,952,41
C2,C5,tcp,4840,4840,192.0.0.36,192.0.0.69,6,488,62
C2,C5,tcp,22,22,192.0.0.36,192.0.0.69,6,1063,50
C2,C5,udp,34964,34964,192.0.0.36,192.0.0.69,17,73,11
C2,C4,udp,34980,34980,192.0.0.36,192.0.0.68,17,76,50
C2,C4,udp,53247,53247,192.0.0.36,192.0.0.68,17,86,11
C2,C4,tcp,443,443,192.0.0.36,192.0.0.68,6,114,21
C2,C5,tcp,4840,4840,192.0.0.36,192.0.0.69,6,632,99
C2,C5,udp,34964,34964,192.0.0.36,192.0.0.69,17,81,77
C2,C5,tcp,22,22,192.0.0.36,192.0.0.69,6,841,35
C3,SV0,tcp,4840,4840,192.0.0.37,192.0.0.5,6,489,84
C3,SV0,tcp,22,22,192.0.0.37,192.0.0.5,6,1054,32
C3,C0,udp,34980,34980,192.0.0.37,192.0.0.7,17,90,85
C3,C0,udp,34962,34962,192.0.0.37,192.0.0.7,17,69,83
C3,C0,tcp,22,22,192.0.0.37,192.0.0.7,6,1220,35
C3,C0,tcp,80,80,192.0.0.37,192.0.0.7,6,969,99
C3,C1,udp,34980,34980,192.0.0.37,192.0.0.8,17,72,37
C3,C1,tcp,22,22,192.0.0.37,192.0.0.8,6,1004,62
C3,SV0,tcp,4840,4840,192.0.0.37,192.0.0.5,6,370,50
C3,SV0,tcp,22,22,192.0.0.37,192.0.0.5,6,1331,47
C3,C0,udp,53247,53247,192.0.0.37,192.0.0.7,17,70,81
C3,C0,tcp,22,22,192.0.0.37,192.0.0.7,6,1129,96
C3,C0,udp,34980,34980,192.0.0.37,192.0.0.7,17,94,50
C3,C0,tcp,80,80,192.0.0.37,192.0.0.7,6,1358,11
C3,C1,tcp,22,22,192.0.0.37,192.0.0.8,6,590,87
C3,C1,udp,34980,34980,192.0.0.37,192.0.0.8,17,88,78
C3,C4,udp,53247,53247,192.0.0.37,192.0.0.68,17,74,40
C3,C4,udp,34980,34980,192.0.0.37,192.0.0.68,17,78,41
C3,C4,tcp,80,80,192.0.0.37,192.0.0.68,6,1160,19
C3,C5,udp,34963,34963,192.0.0.37,192.0.0.69,17,77,49
C3,C5,tcp,4840,4840,192.0.0.37,192.0.0.69,6,374,69
C3,C5,tcp,22,22,192.0.0.37,192.0.0.69,6,822,81
C3,C4,udp,34980,34980,192.0.0.37,192.0.0.68,17,91,85
C3,C4,udp,53247,53247,192.0.0.37,192.0.0.68,17,80,64
C3,C4,tcp,80,80,192.0.0.37,192.0.0.68,6,334,30
C3,C5,tcp,4840,4840,192.0.0.37,192.0.0.69,6,641,62
C3,C5,udp,34962,34962,192.0.0.37,192.0.0.69,17,67,87
C3,C5,tcp,22,22,192.0.0.37,192.0.0.69,6,1116,69
I4,SV0,tcp,22,22,192.0.0.38,192.0.0.5,6,1408,100
I5,SV0,tcp,554,554,192.0.0.39,192.0.0.5,6,1162,198
I5,SV1,tcp,554,554,192.0.0.39,192.0.0.6,6,1024,192
